,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,bed_type,minimum_nights,price,price_pred
3028,strict_14_with_grace_period,f,5.0,Outer Sunset,House,Entire home/apt,4.0,1.0,3.0,Real Bed,30.0,64.0,122.28478
5275,flexible,t,37.0,Financial District,Boutique hotel,Private room,2.0,1.0,2.0,Real Bed,2.0,300.0,145.6165
6888,strict_14_with_grace_period,t,6.0,Excelsior,House,Entire home/apt,16.0,5.0,9.0,Real Bed,1.0,599.0,1187.86
696,moderate,t,1.0,Mission,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,30.0,125.0,102.37811
1424,strict_14_with_grace_period,t,13.0,Inner Richmond,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,70.0,83.21812
1288,strict_14_with_grace_period,f,1.0,Haight Ashbury,House,Entire home/apt,6.0,3.0,4.0,Real Bed,3.0,450.0,419.65964
3040,strict_14_with_grace_period,f,2.0,Pacific Heights,Boutique hotel,Private room,2.0,1.0,1.0,Real Bed,1.0,239.0,142.9913
764,strict_14_with_grace_period,f,1.0,Mission,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,6.0,180.0,247.2346
1562,strict_14_with_grace_period,f,1.0,Pacific Heights,Condominium,Entire home/apt,5.0,3.0,3.0,Real Bed,7.0,450.0,639.00323
1386,strict_14_with_grace_period,f,2.0,Inner Sunset,House,Entire home/apt,5.0,3.0,3.0,Real Bed,2.0,360.0,346.97684
4868,flexible,t,23.0,Haight Ashbury,Apartment,Entire home/apt,3.0,1.0,2.0,Real Bed,30.0,105.0,136.17148
2684,flexible,t,28.0,Downtown/Civic Center,Apartment,Entire home/apt,2.0,1.0,1.0,Real Bed,1.0,110.0,157.94765
4989,strict_14_with_grace_period,f,11.0,Bernal Heights,House,Entire home/apt,6.0,3.0,3.0,Real Bed,30.0,215.0,232.55128
3950,strict_14_with_grace_period,f,1.0,Mission,Condominium,Entire home/apt,4.0,2.0,2.0,Real Bed,30.0,279.0,188.85089
1555,flexible,t,31.0,Bayview,Apartment,Private room,2.0,1.0,1.0,Real Bed,30.0,59.0,60.285275
2651,moderate,t,9.0,Downtown/Civic Center,Apartment,Private room,2.0,1.0,1.0,Real Bed,1.0,209.0,97.58236
